Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
11-FEB-2009,2933,2937.5,2877.6,2925.7,243376977,4898.58
10-FEB-2009,2919.7,2957.4,2891.75,2934.5,302564116,6122.69
09-FEB-2009,2843.05,2926.75,2840.15,2919.9,186517519,4485.04
06-FEB-2009,2779.35,2852.5,2778.65,2843.1,187961190,4000.82
05-FEB-2009,2802.75,2816.8,2754.85,2780.05,178583516,4169.13
04-FEB-2009,2780.7,2842.2,2780.7,2803.05,204148860,4673.8
03-FEB-2009,2773.5,2831.7,2752.9,2783.9,256264668,5901.06
02-FEB-2009,2872.35,2873.45,2760.7,2766.65,235281717,5151.67
30-JAN-2009,2824.05,2881,2774.1,2874.8,295045380,6200.66
29-JAN-2009,2849.35,2873.85,2795.35,2823.95,347987447,7189.27
28-JAN-2009,2771.1,2855.4,2765.6,2849.5,280820341,5561.59
27-JAN-2009,2686.05,2777.3,2685.25,2771.35,220453539,5207.95
23-JAN-2009,2705.45,2765.55,2661.65,2678.55,211289358,5090.88
22-JAN-2009,2714.7,2744.85,2681.4,2713.8,229581189,5319.52
21-JAN-2009,2777.4,2787.3,2690.2,2706.15,220067231,5254.06
20-JAN-2009,2842.9,2842.9,2758,2796.6,233289325,4600.79
19-JAN-2009,2828.7,2868.2,2819.9,2846.2,328336119,4531.5
16-JAN-2009,2737,2835.65,2724.2,2828.45,229499649,4817.92
15-JAN-2009,2832.3,2832.3,2701.75,2736.7,218127929,5670.43
14-JAN-2009,2748.4,2853.25,2748.4,2835.3,217953716,5683.41
13-JAN-2009,2775,2802.6,2720.8,2744.95,252698258,6407.58
12-JAN-2009,2868.85,2869.2,2748.55,2773.1,272867140,6817.52
09-JAN-2009,2919.95,2929.85,2810.25,2873,591981660,9080.84
07-JAN-2009,3112.8,3147.2,2888.2,2920.4,686898999,10865.55
06-JAN-2009,3121.5,3141.8,3056.1,3112.8,340452916,8091.74
05-JAN-2009,3058.75,3131.95,3056.45,3121.45,311929372,6737.94
02-JAN-2009,3034.6,3079.85,3021.8,3046.75,318672508,6132.72
01-JAN-2009,2963.3,3039.25,2963.3,3033.45,226681072,4302.54
31-DEC-2008,2979.8,3002.65,2937.35,2959.15,288826411,5707.75
30-DEC-2008,2922.55,2999.15,2899.75,2979.5,302749136,5819.5
29-DEC-2008,2857.15,2931.8,2812.9,2922.2,335171811,6367.55
26-DEC-2008,2919.85,2960.95,2844.8,2857.25,237935397,4558.9
24-DEC-2008,2967.4,2968,2900.45,2916.85,380460882,6975.71
23-DEC-2008,3039.25,3040,2957.05,2968.65,303129447,5705.38
22-DEC-2008,3077.25,3110.45,3027.8,3039.3,315828829,6101.36
19-DEC-2008,3063,3106.8,3036.3,3077.5,386314136,8344.82
18-DEC-2008,2955.35,3072.55,2922.65,3060.75,377032468,9042.19
17-DEC-2008,3040.45,3076.2,2943.5,2954.35,344614834,8567.6
16-DEC-2008,2983.6,3052.55,2963.3,3041.75,270617321,6893.06
15-DEC-2008,2917.9,3012.1,2917.9,2981.2,293737834,7133.08
12-DEC-2008,2915.35,2936.8,2812.55,2921.35,284387903,7103.03
11-DEC-2008,2934.05,2945.3,2861.55,2920.15,352245716,7844.91
10-DEC-2008,2785.7,2940.15,2785.7,2928.25,370599341,8130.79
08-DEC-2008,2714.7,2861.55,2714.7,2784,311403332,6951.99
05-DEC-2008,2786.65,2821.15,2701.35,2714.4,319248265,6448.61
04-DEC-2008,2656.5,2793.8,2646.35,2788,324695285,6538.53
03-DEC-2008,2657.5,2693.65,2611.95,2656.45,282545081,5912.82
02-DEC-2008,2672.9,2672.9,2570.7,2657.8,261046123,5651.31
01-DEC-2008,2755.15,2832.85,2669.5,2682.9,257834565,6122.02
28-NOV-2008,2745.7,2779,2690.3,2755.1,296322562,7237.78
26-NOV-2008,2652.45,2762.6,2643.35,2752.25,269948758,6429.24
25-NOV-2008,2708.3,2790.7,2638.2,2654,214273358,5619.27
24-NOV-2008,2690.85,2740.35,2633.8,2708.25,236797126,5998.79
21-NOV-2008,2553.6,2718.6,2539.8,2693.45,281247780,6700.25
20-NOV-2008,2634.2,2634.2,2502.9,2553.15,204791432,5330.61
19-NOV-2008,2682.75,2772.4,2617.9,2635,230509310,6447.35
18-NOV-2008,2802.45,2802.45,2664.3,2683.15,220347375,5742.53
17-NOV-2008,2813.4,2835.7,2694.5,2799.55,251219581,6367.92
14-NOV-2008,2848,2938.8,2778.8,2810.35,257081847,7423.62
12-NOV-2008,2937.9,2975.2,2794.95,2848.45,250791310,7010.66
11-NOV-2008,3147.2,3147.2,2919.45,2938.65,221654127,5857.01
10-NOV-2008,2973.3,3161.25,2973.3,3148.25,251108020,5985.46
07-NOV-2008,2893.25,3010,2860.1,2973,246638152,6140.33
06-NOV-2008,2998.45,3007.8,2860.25,2892.65,268176655,7178.24
05-NOV-2008,3155.75,3240.55,2971,2994.95,305687563,8531.19
04-NOV-2008,3050.25,3152.3,2985,3142.1,304637885,7478.44
03-NOV-2008,2885.4,3062.05,2885.4,3043.85,240443755,6642.53
