"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","02 Jun 1999","764.59","770.81","757.53","768.43"
"NIFTY 500","01 Jun 1999","772.24","774.94","758.06","764.61"
"NIFTY 500","31 May 1999","739.63","772.63","739.63","772.28"
"NIFTY 500","28 May 1999","751.87","752.33","720.48","739.66"
"NIFTY 500","27 May 1999","775.83","784.07","751.89","751.89"
"NIFTY 500","26 May 1999","788.10","798.71","768.39","775.83"
"NIFTY 500","25 May 1999","782.95","789.91","780.40","788.08"
"NIFTY 500","24 May 1999","781.77","784.58","772.50","782.99"
"NIFTY 500","21 May 1999","797.33","802.55","778.55","781.83"
"NIFTY 500","20 May 1999","802.08","815.56","794.60","797.24"
"NIFTY 500","19 May 1999","783.55","805.66","783.55","802.09"
"NIFTY 500","18 May 1999","776.88","791.30","776.80","783.32"
"NIFTY 500","17 May 1999","788.20","791.46","760.75","776.92"
"NIFTY 500","14 May 1999","778.75","792.14","777.12","788.25"
"NIFTY 500","13 May 1999","756.80","779.62","756.80","778.65"
"NIFTY 500","12 May 1999","766.66","780.91","742.75","756.68"
"NIFTY 500","11 May 1999","755.46","768.89","755.46","766.63"
"NIFTY 500","10 May 1999","737.23","755.66","737.10","755.44"
"NIFTY 500","07 May 1999","727.63","743.76","727.63","737.10"
"NIFTY 500","06 May 1999","714.36","728.09","714.24","727.58"
"NIFTY 500","05 May 1999","703.09","722.55","702.96","714.36"
"NIFTY 500","04 May 1999","676.23","703.51","676.15","702.94"
"NIFTY 500","03 May 1999","680.59","687.01","675.32","676.25"
"NIFTY 500","30 Apr 1999","667.68","681.66","667.29","680.60"
"NIFTY 500","29 Apr 1999","648.67","668.21","648.67","667.67"
"NIFTY 500","28 Apr 1999","640.88","649.70","627.80","648.67"
"NIFTY 500","26 Apr 1999","678.72","678.72","639.72","640.97"
"NIFTY 500","23 Apr 1999","680.59","687.12","670.31","678.81"
"NIFTY 500","22 Apr 1999","691.76","700.45","674.81","680.56"
"NIFTY 500","21 Apr 1999","686.56","694.61","686.56","691.76"
"NIFTY 500","20 Apr 1999","684.83","691.92","678.88","686.55"
