date,rate,source,is_reference_rate,source_files
1999-07-16,43.2507,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-19,43.2208,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-20,43.2003,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-21,43.2601,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-22,43.2601,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-23,43.2601,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-26,43.2807,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-27,43.29,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-28,43.3294,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-29,43.32,RBI_REFERENCE_RATE,True,BankWise.xls
1999-07-30,43.29,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-02,43.32,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-03,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-04,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-05,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-06,43.4499,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-09,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-10,43.4499,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-11,43.4896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-12,43.4707,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-13,43.4594,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-16,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-17,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-18,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-19,43.4707,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-20,43.5502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-23,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-24,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-25,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-26,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-27,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-30,43.4896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-08-31,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-01,43.4707,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-02,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-03,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-07,43.4896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-08,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-09,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-10,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-14,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-15,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-16,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-17,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-20,43.5502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-21,43.5502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-22,43.5502,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-23,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-24,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-27,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-28,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
1999-09-29,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-01,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-04,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-05,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-06,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-07,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-08,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-11,43.3294,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-12,43.3708,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-13,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-14,43.4292,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-15,43.4405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-18,43.3595,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-20,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-21,43.4499,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-22,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-25,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-26,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-27,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-28,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-10-29,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-01,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-02,43.4103,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-03,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-04,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-05,43.4292,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-08,43.4103,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-11,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-12,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-15,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-16,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-17,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-18,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-19,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-22,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-24,43.3802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-25,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-26,43.3896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-29,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-11-30,43.4103,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-01,43.4103,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-02,43.4103,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-03,43.4009,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-06,43.4197,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-07,43.4405,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-08,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-09,43.4594,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-10,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-13,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-14,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-15,43.5407,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-16,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-17,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-20,43.4896,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-21,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-22,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-23,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
